Производитель,Модель,Критерий тяжести повреждений головы (HIC),Замедление грудной клетки,Нагрузка на левое бедро,Нагрузка на правое бедро,Место,Средство защиты,Кол-во дверей,Год выпуска,"Вес, кг",Тип кузова
Pontiac,Sunbird,603,36,428,483,Водитель,Ручной ремень безопасности,4,87,1095,lt
Pontiac,Trans Sport,761,42,1109,913,Водитель,Ручной ремень безопасности,-,90,1696,van
Renault,Medallion,1656,57,205,411,Водитель,Ручной ремень безопасности,4,88,1207,comp
Saab,900S,718,46,1776,nd,Водитель,Пассивный ремень безопасности,2,88,1288,comp
Saab,9000,584,37,120,435,Водитель,Ручной ремень безопасности,4,87,1356,comp
Saturn,SL2,918,44,1009,1178,Водитель,Моторизированный ремень безопасности,4,91,1113,lt
Subaru,GL,1339,58,1016,485,Водитель,Ручной ремень безопасности,4,87,1022,lt
Subaru,Justy DL,611,42,529,595,Водитель,Ручной ремень безопасности,2,87,753,mini
Subaru,Legacy,1007,52,1957,842,Водитель,Моторизированный ремень безопасности,4,90,1197,comp
Suzuki,Sidekick 4x4,1345,64,1595,2856,Водитель,Ручной ремень безопасности,2,89,1048,mpv
Suzuki,Sidekick 4x4,1314,74,562,2285,Водитель,Ручной ремень безопасности,2,91,1199,mpv
Toyota,4-Runner 4x4,1306,48,430,821,Водитель,Ручной ремень безопасности,4,90,1751,mpv
Toyota,Camry,871,51,1380,1160,Водитель,Пассивный ремень безопасности,4,87,1261,comp
Toyota,Celica,834,50,1071,906,Водитель,Подушка безопасности у водителя ,2,90,1116,lt
Toyota,Corolla Fx,593,42,719,300,Водитель,Ручной ремень безопасности,2,88,1052,lt
Toyota,Corolla,994,49,1101,451,Водитель,Ручной ремень безопасности,4,89,1075,lt
Toyota,Corolla,1238,54,1375,1342,Водитель,Пассивный ремень безопасности,4,91,1091,lt
Toyota,Cressida,790,51,1632,1246,Водитель,Моторизированный ремень безопасности,4,89,1565,med
Toyota,Pickup,1184,57,437,364,Водитель,Ручной ремень безопасности,-,87,1138,pu
Toyota,Pickup,1520,47,1340,1053,Водитель,Ручной ремень безопасности,-,89,1153,pu
Toyota,Pickup 4x4,1342,49,1104,636,Водитель,Ручной ремень безопасности,-,91,1490,pu
Toyota,Previa,1434,66,332,663,Водитель,Ручной ремень безопасности,-,91,1652,van
Toyota,Tercel,1005,40,1245,367,Водитель,Ручной ремень безопасности,2,88,953,lt
Toyota,Tercel,1138,57,945,778,Водитель,Пассивный ремень безопасности,4,91,962,lt
Toyota,Van,1183,59,1199,474,Водитель,Ручной ремень безопасности,-,89,1486,van
Volkswagen,Fox,1801,52,484,924,Водитель,Ручной ремень безопасности,2,87,971,lt
Volkswagen,Fox,1114,55,344,663,Водитель,Ручной ремень безопасности,2,88,998,lt
Volkswagen,Fox,787,64,139,1019,Водитель,Ручной ремень безопасности,2,89,975,lt
Volkswagen,Passat,1182,59,1104,1436,Водитель,Моторизированный ремень безопасности,4,90,1356,comp
Volkswagen,Vanagon GL,1320,59,2930,1911,Водитель,Ручной ремень безопасности,-,88,1597,van
Volvo,740 GLE,519,42,1143,723,Водитель,Подушка безопасности у водителя ,4,88,1365,med
Yugo,GV,1855,45,nd,701,Водитель,Ручной ремень безопасности,2,87,839,mini
Acura,Integra,597,34,387,354,Пассажир,Ручной ремень безопасности,2,87,1066,lt
Acura,Integra RS,637,42,1684,1877,Пассажир,Моторизированный ремень безопасности,4,90,1129,lt
Acura,Legend LS,618,41,730,722,Пассажир,Подушка безопасности у водителя ,4,88,1488,med
Audi,80,515,39,324,245,Пассажир,Ручной ремень безопасности,4,89,1266,comp
Audi,100,710,31,571,757,Пассажир,Подушка безопасности у водителя ,4,89,1406,med
BMW,325i,nd,nd,853,nd,Пассажир,Подушка безопасности у водителя ,2,90,1298,comp
Buick,Century,1144,40,1014,179,Пассажир,Пассивный ремень безопасности,4,91,1357,comp
Buick,Elect. Park Ave,794,37,479,686,Пассажир,Ручной ремень безопасности,4,88,1524,med
Buick,Le Sabre,426,32,669,903,Пассажир,Пассивный ремень безопасности,2,90,1470,med
Buick,Regal,535,33,686,526,Пассажир,Пассивный ремень безопасности,2,88,1456,med
Cadillac,De Ville,nd,46,764,1113,Пассажир,Подушка безопасности у водителя ,4,90,1588,hev
Chevrolet,Astro,1424,63,1695,576,Пассажир,Ручной ремень безопасности,-,88,1718,van
Chevrolet,Astro,1838,64,1901,365,Пассажир,Ручной ремень безопасности,-,89,1815,van
Chevrolet,Beretta,739,35,910,230,Пассажир,Подушка безопасности у водителя ,2,91,1212,comp
Chevrolet,Beretta GT,559,42,1731,796,Пассажир,Пассивный ремень безопасности,2,88,1311,comp
Chevrolet,Camaro,660,39,961,144,Пассажир,Ручной ремень безопасности,2,87,1393,med
Chevrolet,Camaro,583,42,627,174,Пассажир,Подушка безопасности у водителя ,2,91,1447,med
Chevrolet,Caprice,1365,42,260,495,Пассажир,Ручной ремень безопасности,4,89,1675,hev
Chevrolet,Caprice,1101,48,1527,626,Пассажир,Подушка безопасности у водителя ,4,91,1810,hev
Chevrolet,Cavalier,485,37,1749,890,Пассажир,Пассивный ремень безопасности,4,90,1152,comp
Chevrolet,Corsica,752,40,614,845,Пассажир,Ручной ремень безопасности,4,88,1247,comp
Chevrolet,Corsica,956,44,1377,424,Пассажир,Подушка безопасности у водителя ,4,91,1284,comp
Chevrolet,C-1500,374,46,1207,306,Пассажир,Ручной ремень безопасности,-,88,1669,pu
Chevrolet,G-20 Beauville,1719,43,1507,nd,Пассажир,Ручной ремень безопасности,-,87,2217,van
Chevrolet,G-20,1452,56,2447,259,Пассажир,Ручной ремень безопасности,-,88,1925,van
Chevrolet,Lumina,nd,nd,935,nd,Пассажир,Пассивный ремень безопасности,4,90,1431,med
Chevrolet,Suburban,1176,42,101,358,Пассажир,Ручной ремень безопасности,4,87,2549,mpv
Chevrolet,S-10 Blazer 4X4,2482,48,nd,nd,Пассажир,Ручной ремень безопасности,2,89,1596,mpv
Chevrolet,S-10 Blazer 4X4,nd,45,1106,975,Пассажир,Ручной ремень безопасности,2,90,1687,mpv
Chevrolet,S-10 Blazer 4X4,1826,51,1909,515,Пассажир,Ручной ремень безопасности,4,91,1733,mpv
Chevrolet,S-10 Pickup,522,34,1476,699,Пассажир,Ручной ремень безопасности,-,87,1176,pu
Chevrolet,S-10 Pickup 4x4,1358,53,2046,804,Пассажир,Ручной ремень безопасности,-,90,1524,pu
Chrysler,Fifth Ave,682,43,766,575,Пассажир,Подушка безопасности у водителя ,4,89,1733,hev
Chrysler,Imperial,2132,56,862,863,Пассажир,Подушка безопасности у водителя ,4,90,1606,hev
Chrysler,Le Baron,1698,82,1863,853,Пассажир,Пассивный ремень безопасности,2,87,1302,comp
Chrysler,Le Baron,2043,46,1119,769,Пассажир,Подушка безопасности у водителя ,2,90,1361,med
Chrysler,New Yorker,424,43,1580,454,Пассажир,Ручной ремень безопасности,4,88,1447,med
Chrysler,New Yorker,nd,nd,1133,794,Пассажир,Подушка безопасности у водителя ,4,91,1501,med
Daihatsu,Charade,642,37,1188,388,Пассажир,Ручной ремень безопасности,2,88,826,mini
Dodge,colt,816,38,402,1601,Пассажир,Ручной ремень безопасности,4,88,1065,lt
Dodge,D-150,466,35,396,276,Пассажир,Ручной ремень безопасности,-,88,1610,pu
Dodge,Dakota,754,41,213,460,Пассажир,Ручной ремень безопасности,-,87,1365,pu
Dodge,Dakota 4x4,558,56,846,625,Пассажир,Ручной ремень безопасности,-,90,1696,pu
Dodge,Daytona,297,32,795,457,Пассажир,Подушка безопасности у водителя ,2,89,1266,comp
Dodge,Shadow,653,36,748,486,Пассажир,Ручной ремень безопасности,2,87,1157,comp
Dodge,Shadow,457,39,739,781,Пассажир,Подушка безопасности у водителя ,4,91,1238,comp
Dodge,Spirit,537,45,1295,707,Пассажир,Ручной ремень безопасности,4,89,1288,comp
Eagle,Medallion,589,39,1738,1670,Пассажир,Моторизированный ремень безопасности,4,89,1243,comp
Eagle,Premier,868,44,1011,685,Пассажир,Ручной ремень безопасности,4,89,1388,med
Ford,Aerostar,1070,54,518,446,Пассажир,Ручной ремень безопасности,-,87,1367,van
Ford,Bronco II 4x4,950,51,2110,289,Пассажир,Ручной ремень безопасности,2,89,1581,mpv
Ford,Club Wagon,1896,49,3347,1294,Пассажир,Ручной ремень безопасности,-,90,2315,van
Ford,Escort,418,40,1053,619,Пассажир,Пассивный ремень безопасности,2,87,1034,lt
Ford,Escort,450,39,1055,1119,Пассажир,Моторизированный ремень безопасности,2,91,1060,lt
Ford,Explorer 4x4,nd,nd,606,718,Пассажир,Ручной ремень безопасности,4,91,1911,mpv
Ford,F-150,587,38,1090,295,Пассажир,Ручной ремень безопасности,-,88,1704,pu
Ford,Festiva,822,43,876,251,Пассажир,Ручной ремень безопасности,2,88,798,mini
Ford,Mustang LX,301,34,1589,290,Пассажир,Ручной ремень безопасности,2,87,1301,comp
Ford,Mustang,438,50,1707,408,Пассажир,Подушка безопасности у водителя ,2,90,1563,med
Ford,Probe,496,35,870,187,Пассажир,Ручной ремень безопасности,2,89,1202,comp
Ford,Probe,418,45,1592,1033,Пассажир,Моторизированный ремень безопасности,2,91,1275,comp
Ford,Ranger,551,47,526,701,Пассажир,Ручной ремень безопасности,-,87,1210,pu
Ford,Ranger 4x4,736,52,3200,282,Пассажир,Ручной ремень безопасности,-,90,1603,pu
Ford,Taurus,359,47,775,438,Пассажир,Ручной ремень безопасности,4,88,1424,med
Ford,Taurus,609,40,1261,318,Пассажир,Подушка безопасности у водителя ,4,90,1397,med
Ford,Taurus,258,38,1594,708,Пассажир,Подушка безопасности у водителя ,4,91,1492,med
Ford,Tempo,470,50,1773,702,Пассажир,Пассивный ремень безопасности,4,88,1207,comp
Ford,T-Bird,496,40,1138,776,Пассажир,Моторизированный ремень безопасности,2,89,1647,hev
Geo,Metro,1177,33,671,571,Пассажир,Ручной ремень безопасности,2,89,721,mini
Geo,Metro,840,46,244,1002,Пассажир,Ручной ремень безопасности,4,89,748,mini
Geo,Prizm,1141,53,1549,447,Пассажир,Ручной ремень безопасности,4,90,1068,lt
Geo,Storm,981,45,508,555,Пассажир,Подушка безопасности у водителя ,2,91,1021,lt
Honda,Accord,382,36,695,558,Пассажир,Пассивный ремень безопасности,2,87,1107,lt
Honda,Accord Dx,378,40,1452,900,Пассажир,Моторизированный ремень безопасности,4,91,1293,comp
Honda,Accord Lx,539,43,1015,562,Пассажир,Подушка безопасности у водителя ,4,91,1433,med
Honda,Civic,601,47,2158,624,Пассажир,Моторизированный ремень безопасности,4,91,1021,lt
Honda,Civic Crx,520,37,903,375,Пассажир,Ручной ремень безопасности,2,89,854,mini
Honda,Civic Dx,533,38,816,184,Пассажир,Ручной ремень безопасности,2,88,942,lt
Honda,Prelude,854,48,674,733,Пассажир,Пассивный ремень безопасности,2,90,1202,comp
Hyundai,Excel,345,46,1794,1006,Пассажир,Пассивный ремень безопасности,4,87,998,lt
Hyundai,Excel,1003,43,345,775,Пассажир,Ручной ремень безопасности,2,87,989,lt
Hyundai,Excel,419,39,1921,964,Пассажир,Моторизированный ремень безопасности,2,90,998,lt
Hyundai,Scoupe,618,42,966,333,Пассажир,Пассивный ремень безопасности,2,91,998,lt
Hyundai,Sonata,937,53,603,293,Пассажир,Ручной ремень безопасности,4,89,1293,comp
Infiniti,M-30,443,45,1132,716,Пассажир,Подушка безопасности у водителя ,2,90,1529,med
Isuzu,Amigo,744,63,319,458,Пассажир,Ручной ремень безопасности,2,90,1315,mpv
Isuzu,I-Mark,1042,51,747,225,Пассажир,Ручной ремень безопасности,4,87,953,lt
Isuzu,Rodeo,884,71,469,420,Пассажир,Ручной ремень безопасности,4,91,1565,mpv
Isuzu,Spacecab,1067,58,279,480,Пассажир,Ручной ремень безопасности,-,87,1255,pu
Isuzu,Spacecab,723,55,412,172,Пассажир,Ручной ремень безопасности,-,88,1419,pu
Isuzu,Stylus,nd,46,859,717,Пассажир,Подушка безопасности у водителя ,4,91,1058,lt
Isuzu,Trooper II 4x4,1520,59,804,262,Пассажир,Ручной ремень безопасности,4,89,1671,mpv
Isuzu,Trooper II 4x4,1952,64,430,141,Пассажир,Ручной ремень безопасности,4,90,1671,mpv
Jeep,Cherokee 4x4,1796,43,1486,337,Пассажир,Ручной ремень безопасности,4,89,1490,mpv
Jeep,Cherokee 4x4,841,52,1277,692,Пассажир,Ручной ремень безопасности,4,90,1483,mpv
Jeep,Comanche,2700,48,923,761,Пассажир,Ручной ремень безопасности,-,87,1319,pu
Jeep,Wrangler YJ 4x4,1229,40,758,783,Пассажир,Ручной ремень безопасности,2,87,1415,mpv
Lexus,ES250,630,47,1689,1075,Пассажир,Подушка безопасности у водителя ,4,90,1488,med
Lincoln,Continental,492,nd,1326,1090,Пассажир,Подушка безопасности у водителя  и пассажира,4,89,1683,hev
Lincoln,Town Car,nd,36,883,644,Пассажир,Подушка безопасности у водителя  и пассажира,4,90,1851,hev
Mazda,626,801,46,1300,1255,Пассажир,Пассивный ремень безопасности,4,87,1175,comp
Mazda,929,859,49,774,450,Пассажир,Ручной ремень безопасности,4,88,1574,med
Mazda,Miata,531,42,796,763,Пассажир,Подушка безопасности у водителя ,2,90,993,lt
Mazda,Mpv,500,48,579,776,Пассажир,Ручной ремень безопасности,-,91,1692,van
Mazda,Protege,612,51,851,997,Пассажир,Моторизированный ремень безопасности,4,91,1096,lt
Mazda,RX-7,614,48,1135,650,Пассажир,Ручной ремень безопасности,2,88,1193,comp
Mercedes,190E,833,58,1028,331,Пассажир,Подушка безопасности у водителя ,4,90,1387,med
Mercury,Sable,410,35,1512,913,Пассажир,Ручной ремень безопасности,4,88,1451,med
Mercury,Topaz,626,40,1277,455,Пассажир,Подушка безопасности у водителя ,4,87,1236,comp
Mercury,Tracer,425,38,733,581,Пассажир,Ручной ремень безопасности,4,89,1034,lt
